NombreMobiliario;CodigoMobiliario;idAula;VidaUtilMobiliario;VidaUtilMobiliarioFinal;idNombreEstadoMobiliario
TELEFONO CONMUTADOR PANASONIC  MOD KXTS 500 S/N 24UML3BGCOA9ED39;6030;1;2001-05-06;2003-06-10;6
TELEFONO AT&T INALAMBRICO ;1733;1;2001-05-07;2003-06-11;6
CENTRAL TELEFONICA HIBRIDA PANASONIC;;1;2001-05-08;2003-06-12;6
ALARMA;;1;2001-05-09;2003-06-13;6
ARCHIVADOR EN MADERA 3 CAJONES C.CARAMELO ;1742;1;2001-05-10;2003-06-14;6
CAJA METALICA .60X.35X.30;1739;1;2001-05-11;2003-06-15;6
CAJA METALICA LLAVES JULIO C. .80X.50X.10;1759;1;2001-05-12;2003-06-16;6
ESCRITORIO EN L ESTRUC METALICO Y MADERA COLOR CARAMELO 1.90X.1.85X.60X.75;1734;1;2001-05-13;2003-06-17;6
EXTINTOR MULTIPROPOSITO 20L AMARILLO;1737;1;2001-05-14;2003-06-18;6
MESA DE CENTRO ESTRUC METALICA MADERA C. CARAMELO .60X.50X37.;1736;1;2001-05-15;2003-06-19;6
MESA DE CENTRO ESTRUC METALICA MADERA C. CARAMELO .60X.50X37.;1743;1;2001-05-16;2003-06-20;6
MESA DE CENTRO ESTRUC METALICA MADERA C. CARAMELO .75X.60X.37;1744;1;2001-05-17;2003-06-21;6
MESA DE JUNTAS RECTANGULAR ESTRC METALICA Y MADERA  C. CARAMELO Y NEGRO  2.60X1.22X.75.;1758;1;2001-05-18;2003-06-22;8
MESA UNIPERSONAL POLIPROPILENO AZUL;6026;1;2001-05-19;2003-06-23;6
MUEBLE EN MADERA 1 PUERTA C. CAOBA .76X.55X33.;1732;1;2001-05-20;2003-06-24;6
ROPERO EN MADERA;1738;1;2001-05-21;2003-06-25;6
SILLA CON DESCASABRAZOS PANO Y MALLA NEGRA;1740;1;2001-05-22;2003-06-26;6
SILLA CON DESCASABRAZOS PANO Y MALLA NEGRA;1741;1;2001-05-23;2003-06-27;6
SILLA EN CORDOBAN NEGRO CON DESCASABRAZOS;1745;1;2001-05-24;2003-06-28;6
SILLA EN CORDOBAN NEGRO CON DESCASABRAZOS;1746;1;2001-05-25;2003-06-29;6
SILLA EN PAÑO AZUL REY ;1753;1;2001-05-26;2003-06-30;6
SILLA EN PAÑO AZUL REY ;1754;1;2001-05-27;2003-07-01;6
SILLA EN PAÑO AZUL REY ;1755;1;2001-05-28;2003-07-02;6
SILLA EN PAÑO AZUL REY ;1756;1;2001-05-29;2003-07-03;6
SILLA EN PAÑO AZUL REY ;1757;1;2001-05-30;2003-07-04;6
SILLA EN PAÑO AZUL REY CON DESCASABRAZOS ;1748;1;2001-05-31;2003-07-05;6
SILLA EN PAÑO AZUL REY CON DESCASABRAZOS ;1749;1;2001-06-01;2003-07-06;6
SILLA EN PAÑO AZUL REY CON DESCASABRAZOS ;1750;1;2001-06-02;2003-07-07;6
SILLA EN PAÑO AZUL REY CON DESCASABRAZOS ;1751;1;2001-06-03;2003-07-08;6
SILLA EN PAÑO AZUL REY CON DESCASABRAZOS ;1752;1;2001-06-04;2003-07-09;6
SILLA GIRATORIA CON DESCASABRAZOS PAÑO Y MALLA NEGRA;1735;1;2001-06-05;2003-07-10;6
SILLA POLIPOPILENO AZUL;6027;1;2001-06-06;2003-07-11;6
SOFA EN CORDOBAN NEGRO CON DESCASABRAZOS 3P.;1747;1;2001-06-07;2003-07-12;6
PICA;6028;1;2001-06-08;2003-07-13;6
