NombreMobiliario;CodigoMobiliario;idAula;VidaUtilMobiliario;VidaUtilMobiliarioFinal;idNombreEstadoMobiliario
T.V LG MOD 42PJ350R S/N 6124UBFR467WS946;858;15;2016-09-08;2020-09-05;6
ESTANTE METALICO GRIS 5 ENTREPANNOS 1.90X.39X.91;867;15;2016-09-08;2020-09-05;6
ESTANTE METALICO NEGRO 5 ENTREPANNOS 1.90X.39X.90;859-863/865-866;15;2016-09-08;2020-09-05;6
EXTINTOR  AMARILLO ABC 10L;;15;2016-09-08;2020-09-05;6
MESA CUADRADA  RIMAX AMARILLA PEQ;;15;2016-09-08;2020-09-05;6
MESA DE PING PONG;;15;2016-09-08;2020-09-05;7
MESA ESTRUCTURA ANGULO TAPIZADA FORMICA BLANCA PARTE DERECHA MEDIA LUNA;;15;2016-09-08;2020-09-05;7
MESA TRAPEZOIDAL POLIPROPILENO GRIS;868/870-895;15;2016-09-08;2020-09-05;6
SILLA PANO AZUL;;15;2016-09-08;2020-09-05;7
SILLA POLIPROPILENO AZUL;;15;2016-09-08;2020-09-05;6
SILLA POLIPROPILENO AZUL PEQ;5549-5561;15;2016-09-08;2020-09-05;6
SILLA VANYPLAST DESCASABRAZOS PEQ AZUL;;15;2016-09-08;2020-09-05;6
SILLA VANYPLAST DESCASABRAZOS PEQ ROJA;;15;2016-09-08;2020-09-05;6
SILLA VANYPLAST DESCASABRAZOS PEQ VERDE;;15;2016-09-08;2020-09-05;6
TRICICLO;;15;2016-09-08;2020-09-05;6
TELOM;896;15;2016-09-08;2020-09-05;6
PUPITRE UNIVER TRIPLEX;;15;2016-09-08;2020-09-05;7
PUPITRE POLIPROPILENO AZUL;;15;2016-09-08;2020-09-05;6
SILLA POLIPROPILENO AZUL PEQ;;15;2016-09-08;2020-09-05;6
